,train_acc,val_acc,test_acc
0,0.8874423077901196,0.8837881595530396,0.6897321428571429
1,0.9013461538950591,0.909444380313791,0.7924107142857143
2,0.9037115386327089,0.8920993297658056,0.8504464285714285
3,0.912762820561726,0.9160933164840037,0.84375
4,0.9187628205617266,0.9185216236621765,0.8459821428571429
5,0.920641025702157,0.9225471209972451,0.8325892857142857
6,0.9271410257021574,0.9241732194068573,0.8526785714285714
7,0.9310544872283921,0.9174592393509872,0.861607142857143
8,0.9330865386327092,0.9269339733935404,0.8370535714285714
9,0.9375737180709829,0.9304535731356184,0.8816964285714286
10,0.9388365386327091,0.9398271276595734,0.8482142857142858
11,0.9479391026496888,0.9415616329680087,0.8593749999999999
12,0.9551185898780825,0.9498005319148924,0.875
13,0.9589487180709839,0.960474965420174,0.8482142857142857
14,0.9616570514043173,0.9520987513217508,0.8638392857142857
15,0.9637724359830232,0.9582128816462565,0.8616071428571428
16,0.9671057693163564,0.9601425186116633,0.888392857142857
17,0.9665000000000002,0.9572155412207247,0.8928571428571428
18,0.9687628205617284,0.9529298683430274,0.8147321428571428
19,0.9690032052993783,0.9607423683430274,0.8950892857142857
