,train_acc,val_acc,test_acc
0,0.8829551283518464,0.8858406569095356,0.7120535714285714
1,0.8836634616851803,0.885479301848309,0.7678571428571428
2,0.882951923211415,0.8852841701913374,0.7433035714285715
3,0.883525641123453,0.8820536542446042,0.7410714285714286
4,0.8853173077901203,0.8822560132818007,0.7589285714285715
5,0.883189102649688,0.8851829906727393,0.7388392857142857
6,0.8830641026496885,0.8867079095637532,0.7388392857142858
7,0.8841185898780812,0.8853492140769946,0.7678571428571428
8,0.882929487228393,0.8877124767354182,0.7566964285714286
9,0.8843237180709828,0.8843157380185218,0.7366071428571429
